pdb_id1,pdb_id2,tm_score,rmsd
5myx,6nis,0.84836,2.0635111331939697
6vjn,4odu,0.82102,2.7541913986206055
5lbs,6pdu,0.48193,0.44999781250953674
6phh,6nf2,0.92073,0.6620867252349854
6e3h,5y9f,0.85847,2.1195783615112305
4pb9,3q3g,0.82371,2.4968421459198
2xza,4yhi,0.90151,1.010769248008728
1um4,7nx2,0.92249,1.275948166847229
6vbq,5hbt,0.8308,2.2740299701690674
5xcx,1l7t,0.50166,0.5177801847457886
4oz4,6nuz,0.49281,8.343836784362793
7dc8,1y0l,0.48558,7.254123210906982
4jb9,6w05,0.77902,2.947359561920166
4dw2,7tes,0.85995,1.8956098556518555
4ong,5uea,0.84113,2.236032247543335
7vux,1t4k,0.73066,3.599257707595825
4u6h,6xjq,0.94654,1.1031861305236816
2hfg,1zea,0.93903,1.0676579475402832
5c6t,6q1z,0.44487,0.9994400143623352
6cez,6hco,0.91516,0.7722010016441345
5ibl,6xsn,0.74424,3.7442822456359863
6bzw,6c5k,0.95545,0.6553589701652527
6xq4,1mh5,0.88687,1.9030081033706665
2qql,6wg0,0.9611,0.9605205059051514
6mto,6nmv,0.74076,3.557811975479126
1n5y,6aq7,0.72179,3.722630262374878
4f58,1dqd,0.62487,4.703629970550537
5vn8,7chy,0.48172,0.9880574345588684
5y11,4r90,0.62069,5.239912509918213
4m5y,4zto,0.82008,2.3857204914093018
7lf0,3wfd,0.94352,1.1893411874771118
6qd8,3wfb,0.4756,0.7453365921974182
4ydk,1bvl,0.94839,0.7149612307548523
3hzy,6lz4,0.69678,0.4219008684158325
3ifn,6ldv,0.70203,3.926818609237671
2pw2,3klh,0.84988,2.315931558609009
2ny4,6wg0,0.80625,2.8463995456695557
4dqo,2w9e,0.52033,6.833963394165039
3eyq,6x9r,0.86664,0.7750745415687561
5zuf,2hg5,0.73081,3.7082457542419434
7la4,7neq,0.95871,0.6712570786476135
3wkm,6ea7,0.65965,4.868188858032227
4wuu,6bf7,0.82901,2.3714962005615234
5gzn,6xsn,0.50215,8.071723937988281
6pzz,3gnm,0.48389,0.6588479280471802
6uj9,7php,0.72435,3.6850996017456055
1ua6,4u6h,0.4825,0.5144420862197876
6yhq,6c5i,0.739,3.426396369934082
5czv,4gxu,0.85921,1.0316239595413208
4ky1,4kjw,0.90833,1.640255331993103
2fd6,6usf,0.847,2.496958017349243
3g6d,3okk,0.84954,1.6143813133239746
5dum,1lk3,0.89377,1.8134899139404297
1uwg,4ut7,0.88293,0.6311805844306946
3dus,6aq7,0.49558,0.5379546284675598
5ug0,5d70,0.69338,4.371026039123535
2itd,1hez,0.71304,4.124232292175293
2ipu,4rfe,0.64832,5.038201808929443
1ahw,2xkn,0.88779,1.726083755493164
7jlk,1kc5,0.49785,0.55576491355896
5c8j,7n08,0.81412,2.8018572330474854
4rgo,5obf,0.89414,1.3080120086669922
6b5n,3stz,0.93474,1.405770182609558
5bzw,5m63,0.93398,0.9860453605651855
4jr9,5ezi,0.96708,0.661877453327179
