pdb_id1,pdb_id2,tm_score,rmsd
3g6d,3okk,0.29329,0.026402393355965614
5dum,1lk3,0.36941,0.9856593012809753
1uwg,4ut7,0.17305,2.257295846939087
3dus,6aq7,0.46854,0.4558718800544739
5ug0,5d70,0.37184,0.009219048544764519
2itd,1hez,0.36827,0.2673457860946655
2ipu,4rfe,0.42814,0.398457407951355
1ahw,2xkn,0.45687,0.22390106320381165
7jlk,1kc5,0.34681,0.873791515827179
5c8j,7n08,0.16616,0.4999058246612549
4rgo,5obf,0.66515,0.0031574007589370012
6b5n,3stz,0.20257,0.02873091585934162
5bzw,5m63,0.16305,0.6199051737785339
4jr9,5ezi,0.09456,0.011510995216667652
2bfv,3lex,0.50752,0.15602020919322968
7m7i,4dkf,0.26798,0.5213037133216858
3e8u,3eyq,0.29483,0.0
4xpa,3m8o,0.18167,0.055676043033599854
4yue,5yup,0.36623,0.0
6j5d,1dl7,0.45286,0.22040539979934692
5dd0,3efd,0.27449,0.5332363843917847
4nkd,1dqj,0.6502,0.023481696844100952
1ahw,1nc4,0.28308,0.033560462296009064
3uaj,7cqd,0.24406,0.47393444180488586
6jod,7dfa,0.27425,2.5749623775482178
6avu,6cyf,0.2432,1.9329560995101929
3p30,6uyf,0.48106,0.5400116443634033
5uxq,4at6,0.25323,0.45729246735572815
7cea,5ukq,0.47939,0.49567851424217224
7lfa,3eys,0.27135,0.5194864273071289
2gjz,1ar1,0.21985,1.33944571018219
7pnq,5myk,0.34898,2.563828229904175
7kbb,1k6q,0.46833,1.9808349609375
1ob1,6rps,0.37559,0.20550332963466644
6cnj,7l6m,0.23243,0.7299028038978577
5cbe,2dlf,0.50875,0.6123064756393433
7lr3,7nx2,0.27195,0.05168824642896652
6xuk,1rul,0.40936,0.3241701126098633
1dvf,2r8s,0.31824,0.23585574328899384
6w0e,7mrz,0.36817,2.18388032913208
4i3r,5t78,0.37832,0.23371729254722595
4xp6,6b0h,0.19546,0.0010327467462047935
4jpw,7tpg,0.17502,0.17736491560935974
2b1a,6xq0,0.18097,1.0123063325881958
5d1z,5xqw,0.28151,0.008723954670131207
4g80,1vfb,0.53608,1.6220697164535522
6phc,7dfa,0.28475,0.19148771464824677
7aj6,6hgu,0.28764,0.06895642727613449
7mhy,7tes,0.30455,0.0
7pnm,6pis,0.3159,1.8575150966644287
7jie,7k76,0.19927,1.4394241571426392
6fy3,2ap2,0.31433,0.6403839588165283
4x8j,4ygv,0.21284,0.012798607349395752
1d6v,1jpt,0.26457,0.01469684112817049
4ncc,2d7t,0.49705,0.18637369573116302
6a76,6q1g,0.29745,0.2335474193096161
6osh,4yr6,0.23304,0.0
4hs8,4j4p,0.22418,1.2195380926132202
4otx,3efd,0.19906,0.0
5tqa,6by2,0.38461,0.07498819380998611
3c5s,5ec2,0.26696,0.0
5nuz,6xy2,0.14822,0.7864491939544678
5lxg,6dwi,0.37988,5.902656078338623
6x7w,6h2y,0.42198,0.11408748477697372
7dnl,6p50,0.22491,0.42256325483322144
7nx3,7rm1,0.27335,0.21976928412914276
1zlw,7a3u,0.38492,0.3589853048324585
1oaz,1n6q,0.2729,2.0134036540985107
6ch7,6dl8,0.13205,1.3180036544799805
6ii9,5uby,0.18017,0.5680285692214966
7bh8,7m7j,0.231,0.03835052251815796
5i18,2fjh,0.37828,0.19015441834926605
3p30,5ubz,0.50892,0.4500693082809448
2a0l,6nuz,0.53555,0.11411048471927643
1ad9,6jhq,0.22574,0.8285002708435059
6d9g,7m7e,0.17517,0.11129365116357803
6lxk,7mxd,0.21851,1.866576075553894
3bkc,6edu,0.18209,0.9274317026138306
6tkb,4hpo,0.20059,0.3423754870891571
3inu,1fgv,0.22147,0.09049258381128311
5nb5,6ni2,0.37013,0.19009451568126678
7aj6,6w4v,0.32658,0.6908659934997559
7df9,2a0l,0.29814,0.06952138990163803
5xs7,5itb,0.46955,0.27647972106933594
6z7x,3mj8,0.37772,0.5210272073745728
7mlu,1wcb,0.13364,0.007829209789633751
2zjs,5opy,0.50166,0.5368553400039673
6ztf,4h20,0.31242,0.0
7kf0,7lok,0.22402,0.4714828133583069
4xnu,6iut,0.16938,0.9956541061401367
7rd5,3nac,0.20802,0.15440300107002258
3d85,3ijy,0.11947,0.0
1xf2,5j9p,0.31621,0.377398818731308
1kyo,6krz,0.37274,2.666268825531006
6yax,6ks1,0.46082,1.1790411472320557
4f58,7o9w,0.31168,0.08155142515897751
3d85,3qnx,0.29482,0.14065021276474
1nd0,6xjq,0.17725,0.18200115859508514
6v4r,7nw3,0.33699,0.9936416745185852
3bpc,5t0y,0.37975,0.8240095973014832
3d69,6edu,0.18733,0.16806529462337494
1t2q,2ltq,0.65305,0.34957051277160645
6lcs,4xp9,0.3257,0.02164127491414547
3n85,7pnq,0.20842,0.5941450595855713
6nn3,6nyq,0.38107,0.7253836393356323
3liz,4hxa,0.40249,0.013198133558034897
4q9r,1mrf,0.52739,0.026352370157837868
5gzo,5lbs,0.16468,0.08772457391023636
7ceb,4wuk,0.38019,0.5409166812896729
2a6d,5jq6,0.26798,0.5895583629608154
3ob0,7c4s,0.26989,0.2875117361545563
5t4z,6cxc,0.26204,1.6496214866638184
1d5i,5uby,0.33976,0.3019496500492096
7ecy,4nrz,0.16172,0.6818079948425293
3qeh,1eap,0.35736,2.257408857345581
2htl,3fmg,0.23703,0.8229104280471802
6vrh,4jre,0.1726,0.0
6kz0,6ana,0.34381,0.7910773158073425
1uac,2xza,0.27789,0.0
7bud,7nd3,0.29281,0.006136405281722546
3qnz,7k66,0.22933,0.02596120908856392
6ww2,6q0e,0.20202,0.2903556227684021
5e1a,5tlk,0.4722,0.8543393611907959
4qti,7c2s,0.18072,0.0
5mev,3ikc,0.19615,2.6240429878234863
6n7u,6wo3,0.1226,1.5067604780197144
6b3d,6igu,0.31697,0.14121408760547638
1acy,6ol5,0.37751,0.5891221761703491
5lgh,6cxl,0.36176,0.2730712294578552
1pz5,3qo1,0.28291,0.0
5e2u,5mhs,0.15509,0.007488700561225414
6btj,6h3h,0.24755,0.22994528710842133
5kw9,5vco,0.27228,0.06368882209062576
4fqk,1gc1,0.11235,0.5573148131370544
5d8j,1k4c,0.45501,1.704994559288025
4qci,6x3t,0.36603,0.7389191389083862
7raj,6h0e,0.32058,1.8719596862792969
7o33,6u0l,0.11129,0.13629645109176636
5ug0,7po5,0.18177,1.7727406024932861
6qnk,6b5t,0.29347,0.2492953985929489
